ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,neighborhood
11824045,JC428099,09/10/2019 07:48:00 PM,043XX W 26TH ST,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,ALLEY,False,False,1031,10,22,30,03,1148207.0,1886375.0,2019,09/17/2019 03:49:10 PM,41.844156108,-87.731602211,"(41.844156108, -87.731602211)",Little Village
11824507,JC428768,09/10/2019 07:45:00 PM,076XX S CICERO AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,833,8,18,65,06,1145727.0,1853720.0,2019,09/17/2019 03:49:10 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)",West Lawn
11823861,JC428090,09/10/2019 07:42:00 PM,033XX S LITUANICA AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,913,9,11,60,04A,1170854.0,1882667.0,2019,09/17/2019 03:49:10 PM,41.83351554,-87.648600347,"(41.83351554, -87.648600347)",Bridgeport
11824038,JC428106,09/10/2019 07:40:00 PM,047XX N LINCOLN AVE,0460,BATTERY,SIMPLE,STREET,False,False,1911,19,47,4,08B,1159697.0,1931599.0,2019,09/17/2019 03:49:10 PM,41.968025707,-87.688187568,"(41.968025707, -87.688187568)",Lincoln Square
11824194,JC428364,09/10/2019 07:40:00 PM,002XX W WASHINGTON ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,122,1,42,32,06,1174590.0,1900807.0,2019,09/17/2019 03:49:10 PM,41.883210464,-87.634350417,"(41.883210464, -87.634350417)",Loop
11829509,JC434737,09/10/2019 07:35:00 PM,078XX S WABASH AVE,0880,THEFT,PURSE-SNATCHING,CTA BUS,False,False,623,6,6,69,06,1178069.0,1853078.0,2019,09/18/2019 03:41:04 PM,41.75215961,-87.623024261,"(41.75215961, -87.623024261)",Grand Crossing
11828325,JC428092,09/10/2019 07:35:00 PM,092XX S COMMERCIAL AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,424,4,10,46,08B,1197747.0,1844338.0,2019,09/18/2019 03:41:04 PM,41.727707947,-87.551205466,"(41.727707947, -87.551205466)",South Chicago
11823999,JC428150,09/10/2019 07:35:00 PM,058XX W LAKE ST,0560,ASSAULT,SIMPLE,APARTMENT,False,False,1512,15,29,25,08A,1137312.0,1902246.0,2019,09/17/2019 03:49:10 PM,41.88791087,-87.771204147,"(41.88791087, -87.771204147)",Austin
11823943,JC428079,09/10/2019 07:30:00 PM,068XX S STONY ISLAND AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,SIDEWALK,True,False,332,3,5,43,08A,1188039.0,1860017.0,2019,09/17/2019 03:49:10 PM,41.770969165,-87.586268228,"(41.770969165, -87.586268228)",South Shore
11824305,JC428475,09/10/2019 07:30:00 PM,064XX N CLAREMONT AVE,0560,ASSAULT,SIMPLE,STREET,False,True,2412,24,50,2,08A,1159479.0,1942696.0,2019,09/07/2021 03:41:02 PM,41.998480847,-87.688682037,"(41.998480847, -87.688682037)",West Ridge
11823926,JC428098,09/10/2019 07:30:00 PM,009XX W 115TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),False,True,524,5,34,53,08B,1171953.0,1828275.0,2019,09/17/2019 03:49:10 PM,41.684232944,-87.6461621,"(41.684232944, -87.6461621)",West Pullman
11823977,JC428114,09/10/2019 07:30:00 PM,026XX N NARRAGANSETT AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2512,25,36,19,06,1133295.0,1916925.0,2019,09/17/2019 03:49:10 PM,41.928263171,-87.785611939,"(41.928263171, -87.785611939)",Belmont Cragin
11831038,JC428337,09/10/2019 07:30:00 PM,012XX W 57TH ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,713,7,16,67,05,1168832.0,1866976.0,2019,09/24/2019 03:41:25 PM,41.790501754,-87.656472924,"(41.790501754, -87.656472924)",Englewood
11825097,JC429502,09/10/2019 07:30:00 PM,009XX W ALTGELD ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1932,19,43,7,06,1169533.0,1916802.0,2019,09/17/2019 03:49:10 PM,41.927213224,-87.652453686,"(41.927213224, -87.652453686)",Sheffield & DePaul
11824414,JC428149,09/10/2019 07:30:00 PM,007XX N MICHIGAN AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,False,False,1834,18,42,8,06,1177300.0,1905274.0,2019,09/17/2019 03:49:10 PM,41.895407139,-87.624263706,"(41.895407139, -87.624263706)",Magnificent Mile
11824104,JC428276,09/10/2019 07:30:00 PM,076XX S CICERO AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,833,8,18,65,06,1145727.0,1853720.0,2019,09/17/2019 03:49:10 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)",West Lawn
11824598,JC428711,09/10/2019 07:30:00 PM,063XX S ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,False,False,823,8,17,66,14,1156809.0,1862421.0,2019,09/23/2019 03:43:46 PM,41.778253469,-87.700681358,"(41.778253469, -87.700681358)",Chicago Lawn
11824849,JC428095,09/10/2019 07:30:00 PM,011XX W 86TH ST,0810,THEFT,OVER $500,STREET,False,False,613,6,21,71,06,1170404.0,1847778.0,2019,09/17/2019 03:49:10 PM,41.737785909,-87.651266992,"(41.737785909, -87.651266992)",Auburn Gresham
11823821,JC428054,09/10/2019 07:29:00 PM,133XX S LANGLEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,533,5,9,54,08A,1183291.0,1817357.0,2019,09/17/2019 03:49:10 PM,41.654016709,-87.60499518,"(41.654016709, -87.60499518)",Riverdale
11832342,JC438048,09/10/2019 07:26:00 PM,004XX N STATE ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,PARKING LOT/GARAGE(NON.RESID.),False,False,1834,18,42,8,11,1176302.0,1903096.0,2019,12/09/2019 03:40:14 PM,41.889453169,-87.627994833,"(41.889453169, -87.627994833)",River North
11823923,JC428073,09/10/2019 07:24:00 PM,024XX S ALBANY AVE,2022,NARCOTICS,POSS: COCAINE,STREET,True,False,1033,10,12,30,18,1156083.0,1887575.0,2019,09/17/2019 03:49:10 PM,41.847293984,-87.702666173,"(41.847293984, -87.702666173)",Little Village
11824030,JC428084,09/10/2019 07:20:00 PM,009XX N WOOD ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE-GARAGE,False,False,1212,12,1,24,03,1164231.0,1906145.0,2019,09/17/2019 03:49:10 PM,41.898083579,-87.672238092,"(41.898083579, -87.672238092)",East Village
11824972,JC428089,09/10/2019 07:20:00 PM,076XX S HOMAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,False,False,835,8,18,70,14,1155013.0,1854028.0,2019,09/17/2019 03:49:10 PM,41.755257837,-87.707489523,"(41.755257837, -87.707489523)",Ashburn
11823826,JC428085,09/10/2019 07:14:00 PM,038XX W MADISON ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1122,11,28,26,18,1150710.0,1899736.0,2019,09/17/2019 03:49:10 PM,41.880771776,-87.722067456,"(41.880771776, -87.722067456)",Garfield Park
11823994,JC428044,09/10/2019 07:13:00 PM,080XX S MORGAN ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,621,6,21,71,11,1171040.0,1851598.0,2019,09/17/2019 03:49:10 PM,41.74825465,-87.648825527,"(41.74825465, -87.648825527)",Auburn Gresham
11824132,JC428198,09/10/2019 07:08:00 PM,007XX W 42ND ST,1478,CONCEALED CARRY LICENSE VIOLATION,PROHIBITED PLACES,STREET,True,False,925,9,11,61,15,1172229.0,1876875.0,2019,09/17/2019 03:49:10 PM,41.817591567,-87.643725796,"(41.817591567, -87.643725796)",New City
11825165,JC428032,09/10/2019 07:07:00 PM,010XX W 47TH PL,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,933,9,20,61,04A,1170241.0,1873317.0,2019,09/17/2019 03:49:10 PM,41.807871598,-87.651121955,"(41.807871598, -87.651121955)",New City
