trip_id,year,month,week,day,hour,usertype,gender,starttime,stoptime,tripduration,temperature,events,from_station_id,from_station_name,latitude_start,longitude_start,dpcapacity_start,to_station_id,to_station_name,latitude_end,longitude_end,dpcapacity_end,start_neighborhood,end_neighborhood
16815879,2017,10,40,3,17,Subscriber,Male,2017-10-05 17:08:00,2017-10-05 17:15:00,7.116666666666666,69.1,cloudy,287,Franklin St & Monroe St,41.880317,-87.63518499999998,27.0,21,Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15.0,Loop,West Loop
10410158,2016,6,26,3,8,Subscriber,Female,2016-06-30 08:56:00,2016-06-30 09:16:00,19.966666666666665,72.0,cloudy,192,Canal St & Adams St,41.879255,-87.639904,47.0,211,St. Clair St & Erie St,41.894448,-87.622663,19.0,West Loop,Streeterville
14809445,2017,6,26,2,16,Subscriber,Male,2017-06-28 16:36:33,2017-06-28 16:48:39,12.1,80.1,cloudy,198,Green St & Madison St,41.881892,-87.64878900000002,19.0,175,Wells St & Polk St,41.872596,-87.63350200000002,19.0,West Loop,Loop
3943444,2014,10,42,0,6,Subscriber,Male,2014-10-13 06:50:00,2014-10-13 07:13:00,23.73333333333333,57.0,cloudy,157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15.0,287,Franklin St & Arcade Pl,41.881469,-87.635177,23.0,Lake View,Loop
6449817,2015,7,30,4,17,Subscriber,Male,2015-07-24 17:05:00,2015-07-24 17:14:00,8.183333333333334,82.0,cloudy,140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19.0,138,Clybourn Ave & Division St,41.904509,-87.6405,15.0,Rush & Division,Old Town
8622445,2016,1,3,3,7,Subscriber,Male,2016-01-21 07:44:00,2016-01-21 07:52:00,8.266666666666667,16.0,cloudy,506,Spaulding Ave & Armitage Ave,41.917184000000006,-87.710357,15.0,123,California Ave & Milwaukee Ave,41.922695,-87.697153,15.0,Logan Square,Logan Square
7659223,2015,9,39,4,17,Subscriber,Male,2015-09-25 17:47:00,2015-09-25 17:50:00,3.6,68.0,cloudy,230,Lincoln Ave & Roscoe St,41.94334,-87.67097,19.0,257,Lincoln Ave & Waveland Ave,41.94911,-87.675112,15.0,Lake View,North Center
11215024,2016,8,32,0,20,Subscriber,Male,2016-08-08 20:30:57,2016-08-08 20:55:07,24.166666666666668,77.0,cloudy,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,39.0,77,Clinton St & Madison St,41.882242,-87.64106600000002,31.0,Lincoln Park,West Loop
4116258,2014,10,44,3,8,Subscriber,Male,2014-10-30 08:25:00,2014-10-30 08:31:00,6.0,39.2,cloudy,91,Clinton St & Washington Blvd,41.88338,-87.64116999999997,31.0,81,Daley Center Plaza,41.884451,-87.629892,47.0,West Loop,Loop
13819825,2017,4,17,3,11,Subscriber,Male,2017-04-27 11:06:57,2017-04-27 11:14:29,7.533333333333333,46.0,cloudy,49,Dearborn St & Monroe St,41.881319815,-87.6295209193,27.0,100,Orleans St & Merchandise Mart Plaza,41.888243,-87.63639,31.0,Loop,River North
